comments,candidate,cleaned_comments
Forget Mahama. The people know you and your government are corrupt. Address the endemic corruption you government can't seem to walk away from. Corruption personified.,Bawumia,forget mahama people know government corrupt address endemic corruption government seem walk away corruption personified
The length of a serpent is known when it dies..,Bawumia,length serpent known dy
Who doesn't know u are the Mother Serpent of Corruption??,Bawumia,know mother serpent corruption
Most corrupt arrogant president ever,Bawumia,corrupt arrogant president ever
You clear Cecilia Dapaah or you no clear am?,Bawumia,clear cecilia dapaah clear
He's only good in reading speeches when he wakes up from sleep,Bawumia,good reading speech wake sleep
The clearing agent tag enter your man paa,Bawumia,clearing agent tag enter man paa
The clearing agent has cleared himself,Bawumia,clearing agent cleared
Expecting you to accept it is like expecting the devil to take one into Heaven,Bawumia,expecting accept like expecting devil take one heaven
The only thing he know how to do best is speak English with accent,Bawumia,thing know best speak english accent
"Fact , we know NDC and the mere allegations and propaganda. Nana AKUFFO addo wont fall for that . Equipping and improving state agency to fight corruption is the way to go .",Bawumia,fact know ndc mere allegation propaganda nana akuffo addo wont fall equipping improving state agency fight corruption way go
president sef get nothing to say...go eat cerelac and sleep,Bawumia,president sef get nothing say go eat cerelac sleep
PhD deyy clap yet again!,Bawumia,phd deyy clap yet
You de3 it has pained you… my friend go and sit down,Bawumia,de pained friend go sit
"As usual, type n read",Bawumia,usual type read
Mother serpent of corruption himself. Make we think mtcheeew,Bawumia,mother serpent corruption make think mtcheeew
Where's the old testament God lol,Bawumia,old testament god lol
Are you crying?,Bawumia,cry
Tema or Takoradi Harbour????,Bawumia,tema takoradi harbour
"Nuumo, Ofain3 kpa shi ofeko noko noko",Bawumia,nuumo ofain kpa shi ofeko noko noko
"It was justified for Nana Addo, Bawumia and Samira Bawumia to call Mahama INCOMPETENT. 
  Super humans",Bawumia,justified nana addo bawumia samira bawumia call mahama incompetent super human
"You are a clearing agent sir 
  Admit it and find peace but must people always clap ?",Bawumia,clearing agent sir admit find peace must people always clap
"I think I heard him mention ""legacy"". This actually got me to really understand what power really changes people. Hope we all learn…..this man…….",Bawumia,think heard mention legacy actually got really understand power really change people hope learn man
…. And the goats are clapping ! Wow !,Bawumia,goat clapping wow
Ei saa?,Bawumia,ei saa
Which country are you living in Mr president,Bawumia,country living mr president
You want clear yourself Mr President,Bawumia,want clear mr president
HwÉ› ne ti sÉ› VAR review,Bawumia,hw ne ti var review
The clapping not even coming,Bawumia,clapping even coming
"Masa masa stop talking, shame on you, you said a lot when in opposition only to come and be the father of corruption ever in Ghana!!!",Bawumia,masa masa stop talking shame said lot opposition come father corruption ever ghana
Addo D is so emotional,Bawumia,addo emotional
"Absolutely ""justified""",Bawumia,absolutely justified
Ghanaians when you are trying to defend someone who don't understand English you will end up exposing your self think ooooo yoooo Amen,Bawumia,ghanaians trying defend someone understand english end exposing self think ooooo yoooo amen
"The best President Ghana has ever had. God bless you, sir.",Bawumia,best president ghana ever god bless sir
Ghanaians at the time we thought we have a lawyer who is expected by law to uphold the rule of law just look at us what a wonderful country we have think ooooo yoooo Amen,Bawumia,ghanaians time thought lawyer expected law uphold rule law look u wonderful country think ooooo yoooo amen
The grass is greener where you water it,Bawumia,grass greener water
This guy needs the Shame treatment from game of thrones,Bawumia,guy need shame treatment game throne
We don't expect him to accept it,Bawumia,expect accept
I am happy these names gets you pained. The mainstream media will deal with you /Bawumia n Npp more this elections every corrupt act of you govt will be posted tirelessly till election day it will be replayed and amplified to every corner of the nation n voters eyes n ears.,Bawumia,happy name get pained mainstream medium deal bawumia npp election every corrupt act govt posted tirelessly till election day replayed amplified every corner nation voter eye ear
Siaaaaa oluman,Bawumia,siaaaaa oluman
Guilty conscience,Bawumia,guilty conscience
lol no thief will admit he is one till he is caught red handed.,Bawumia,lol thief admit one till caught red handed
"Charles Bissiw
  Charles Adu Boahen
  Charles Cecilia Dapaah
  Charles Visa Pius Hadzide
  Charles Rev Kusi Boateng
  Charles Ken Ofori Atta
  Etc...",Bawumia,charles bissiw charles adu boahen charles cecilia dapaah charles visa pius hadzide charles rev kusi boateng charles ken ofori atta etc
"Just this week, we are hearing you guys are stealing over a billion dollars",Bawumia,week hearing guy stealing billion dollar
Ministry health your agents are there taking 500-6000 for posting even referral nurses but you claim no clearance for 5yrs now Satan will even reject you when you finally bow out on your time.,Bawumia,ministry health agent taking posting even referral nurse claim clearance yr satan even reject finally bow time
wickedness is in your DNA you don't even know shame but you want to build house for God. Why reduce to argument to ndc only you think all Ghanaians are ndc?,Bawumia,wickedness dna even know shame want build house god reduce argument ndc think ghanaians ndc
Akufo Addo has forgotten he was a perennial presidential candidate who even went on his knees to beg us to try him! Such an arrogant fraud!,Bawumia,akufo addo forgotten perennial presidential candidate even went knee beg u try arrogant fraud
Masa let us think,Bawumia,masa let u think
My issue is you hardly see NDC calling them names.,Bawumia,issue hardly see ndc calling name
Nana Addo is corruption personified,Bawumia,nana addo corruption personified
lol 2025 before you will know your pass mark ok. mua,Bawumia,lol know pas mark ok mua
Who still listens to this man? Some of us won't waste our ears.,Bawumia,still listens man u waste ear
"In Ghana, people clap every nonsense statement made in a gathering......",Bawumia,ghana people clap every nonsense statement made gathering
The most corrupt ever in the history of Ghana's presidency,Bawumia,corrupt ever history ghana presidency
Nana is now seeking mercy ooo,Bawumia,nana seeking mercy ooo
Clearing agent,Bawumia,clearing agent
Very soon the man beside will become the head of the military,Bawumia,soon man beside become head military
He is the no.1 clearing president. He should publish the KPMG report on the SML deal,Bawumia,clearing president publish kpmg report sml deal
Ofui,Bawumia,ofui
Rehearsed speeches nkoaa,Bawumia,rehearsed speech nkoaa
It is beyond justified.,Bawumia,beyond justified
I'm shocked that non has been caught corrupt and sentence to jail …. When corruption stares in our faces,Bawumia,shocked non caught corrupt sentence jail corruption stare face
Mr Nana Akufo Addo is a mother serpent of corruption,Bawumia,mr nana akufo addo mother serpent corruption
ab)nefo),Bawumia,ab nefo
The man wan clear himself add,Bawumia,man wan clear add
Lmao our president is shameless,Bawumia,lmao president shameless
So no one can stand up and list the corruption cases under his watch? A forgot u can't bite the hands that feeds you.,Bawumia,one stand list corruption case watch forgot bite hand feed
"Is funny how he thinks, he thinks saying that he's not corrupt will clear him of corruption",Bawumia,funny think think saying corrupt clear corruption
Theif,Bawumia,theif
"Oga, you see, say, Odame dey clap for you.""",Bawumia,oga see say odame dey clap
Your mother waaa,Bawumia,mother waaa
Fully justified,Bawumia,fully justified
My good english,Bawumia,good english
"This man ankasa what Dey worry Ghanaians nor Dey worry him 
  It's too bad",Bawumia,man ankasa dey worry ghanaians dey worry bad
Mahama only said what Ghanains we're saying.....,Bawumia,mahama said ghanains saying
The only thing I like abt nana addo is his well arranged English... that's all.,Bawumia,thing like abt nana addo well arranged english
Eii Dirty Akuffo-Bawumia thief and liar,Bawumia,eii dirty akuffo bawumia thief liar
Tom and Jerry cartoons,Bawumia,tom jerry cartoon
Masa u are clearing agent just accept,Bawumia,masa clearing agent accept
Professional clearing agent,Bawumia,professional clearing agent
Why do you the prejudice matters of corruption,Bawumia,prejudice matter corruption
If these were a different time like,Bawumia,different time like
"Nana the ""clearing agent""",Bawumia,nana clearing agent
We will justify it soon. Mr President,Bawumia,justify soon mr president
But Akufo Addo promised to use the Anas principles to fight corruption,Bawumia,akufo addo promised use ana principle fight corruption
You know what you are saying is false but you look us in the eyes and say it. Are you proud of the Ghana you lead today? It's unfortunate,Bawumia,know saying false look u eye say proud ghana lead today unfortunate
His demeanor says something different...he is only a beneficiary of ethnic shielding.,Bawumia,demeanor say something different beneficiary ethnic shielding
Prove him wrong…we will wait,Bawumia,prove wrong wait
The thing pain am oo. This one is justified paa.,Bawumia,thing pain oo one justified paa
It is obvious you are a clearing agent. Who doesn't know this.,Bawumia,obvious clearing agent know
This is mind speaking,Bawumia,mind speaking
We know you are lying but continue SIIAFOU npp ndc,Bawumia,know lying continue siiafou npp ndc
Godfred dame is even laughing,Bawumia,godfred dame even laughing
The promises dea this year e no Dey ground o. I call on my tech people and entrepreneurs to start building products along with the promises of these politicians. You demo to one influential person in their team na you're on your way to make a million bucks contract. Make I look,Bawumia,promise dea year dey ground call tech people entrepreneur start building product along promise politician demo one influential person team na way make million buck contract make look
Men's double buckle belt 250gh Daniel Wellington 320gh casio set 250gh fossil 380gh dm or WhatsApp 0598797079,Bawumia,men double buckle belt gh daniel wellington gh casio set gh fossil gh dm whatsapp
This is very necessary because I know of a man who is now in his 60's who's still a driver but he should have been on retirement long ago. If he stops driving he can't cater for himself and the family.,Bawumia,necessary know man still driver retirement long ago stop driving cater family
"Mahama the liar. In 2009, the Atta Mils/Mahama government promised pension scheme for commercial drivers. They didnt fulfil that promise till they left office in 2017.",Bawumia,mahama liar atta mil mahama government promised pension scheme commercial driver didnt fulfil promise till left office
"With prudent management of our resources, nothing is impossible. Imagine slashing the OGM budget by 50% from Gh¢2bn to Gh¢1bn?
  
  Imagine scrapping of ex-gratia of Gh¢500,000 per each of the 275 MPs?
  
  Imagine the rest... We will be saving annually Gh¢10 billion or more..",Bawumia,prudent management resource nothing impossible imagine slashing ogm budget gh bn gh bn imagine scrapping ex gratia gh per mp imagine rest saving annually gh billion
keeps on making fooolish promises aaa to the extent that Ghanaians are not able to distinguish between a good promise and a bad one … heeer NPP,Bawumia,keep making fooolish promise aaa extent ghanaians able distinguish good promise bad one heeer npp
"This promise be low key koraaaaa, low low below belt.... ha.....",Bawumia,promise low key koraaaaa low low belt ha
"Empty promises, same as his rival but I like how JDM is calm even he knows that he's lying. But the other guy is like first day of a villager in town. Kikrakikra saaa.",Bawumia,empty promise rival like jdm calm even know lying guy like first day villager town kikrakikra saaa
I think the policies of his opponent is creating problems for him.,Bawumia,think policy opponent creating problem
Mahani at it again,Bawumia,mahani
You and bawumiah have the same mother....shameless liars,Bawumia,bawumiah mother shameless liar
wonso,Bawumia,wonso
Tell them they will contribute,Bawumia,tell contribute
Another brilliant lie from NDC flagbearer.,Bawumia,another brilliant lie ndc flagbearer
This is easy and doable. They just have to be willing.,Bawumia,easy doable willing
wei…? Smh,Bawumia,wei smh
Impressive but How about the real policies?,Bawumia,impressive real policy
Let commercial drivers pay their tax.,Bawumia,let commercial driver pay tax
See concert!…. Who is preventing commercial drivers from paying SSNIT?,Bawumia,see concert preventing commercial driver paying ssnit
"Ahhh, mahama",Bawumia,ahhh mahama
Eeeiiii…………as3m b3n koraaa nie.,Bawumia,eeeiiii koraaa nie
How many nurses and teacher trainees were you not able to pay their allowance?? Than to say pension scheme for commercial drivers. JM is dangerous to the future development of the Ghanaian youth.,Bawumia,many nurse teacher trainee able pay allowance say pension scheme commercial driver jm dangerous future development ghanaian youth
"John Mahama should stop making such funny and empty promises. Even ,nurse and teachers allowance you inherited from your predecessor,you could not continue. Let JDM get serious with Ghanaians.",Bawumia,john mahama stop making funny empty promise even nurse teacher allowance inherited predecessor could continue let jdm get serious ghanaians
. Trusting ab3nua is like trusting a sex worker!,Bawumia,trusting ab nua like trusting sex worker
"How's that gonna be?
  Aren't they(commercial drivers) contributing to SSNIT?",Bawumia,gonna commercial driver contributing ssnit
That's actually a good thing. These guys need that safety net and the revenue from their contributions can assist the government with several developmental endeavors. NDC has the track record for maximizing the revenues they get by investing in profitable ventures,Bawumia,actually good thing guy need safety net revenue contribution assist government several developmental endeavor ndc track record maximizing revenue get investing profitable venture
Ssnit kraa aguu,Bawumia,ssnit kraa aguu
Forget this man! He has nothing new to offer Ghanaians! Haven't they seen it all about him? Omg…..,Bawumia,forget man nothing new offer ghanaians seen omg
"Someone who's has promised to cancel Free SHS, Nursing Training allowance etc is saying this.",Bawumia,someone promised cancel free shs nursing training allowance etc saying
"John Mahama's pension scheme for drivers is a great start! To truly boost the economy, we need more public transport like trains and buses. This requires a visionary leader, something both NDC and NPP have yet to deliver. Let's channel our energy to the New Force.",Bawumia,john mahama pension scheme driver great start truly boost economy need public transport like train bus requires visionary leader something ndc npp yet deliver let channel energy new force
Promises from both parties anyhow..,Bawumia,promise party anyhow
Ono nso... SMH,Bawumia,ono nso smh
"Scam my ,hahahahahab",Bawumia,scam hahahahahab
"Dead on Arrival Promise.
  
  what prevents them from enrolling now. 
  Are Self employed persons and workers in the informal sectors not eligible under the current arrangements?",Bawumia,dead arrival promise prevents enrolling self employed person worker informal sector eligible current arrangement
To the gods...,Bawumia,god
U go win the elections but when I see things like this I ask ei ɛnti ɛbɛyɛyie ni,Bawumia,go win election see thing like ask ei nti yie ni
Scam mu pro max,Bawumia,scam mu pro max
Charlie the promises we hear taya oo,Bawumia,charlie promise hear taya oo
The promises are becoming too much,Bawumia,promise becoming much
They will soon promise you long life lol,Bawumia,soon promise long life lol
Abba why do these politricians rate our reasoning? pension for commercial drivers does he knows the number of commercial drivers in gh? Is he trying to tell us that now the gov is gonna take over de responsibility of car owners?is dere any hope for this country's youth,Bawumia,abba politricians rate reasoning pension commercial driver know number commercial driver gh trying tell u gov gonna take de responsibility car owner dere hope country youth
"This isn't feasible since data koraa on commercial trotro you don't have. The trotro business is just as the market women, open business opened for everyone and hardly regulates. Okada and pragya are struggling.",Bawumia,feasible since data koraa commercial trotro trotro business market woman open business opened everyone hardly regulates okada pragya struggling
I for do then turn driver be that,Bawumia,turn driver
Anything for votes,Bawumia,anything vote
U people too. Hmm,Bawumia,people hmm
Eeeiiiiiiii!!!!!,Bawumia,eeeiiiiiiii
Tswww,Bawumia,tswww
Very much needed,Bawumia,much needed
Akekakkeka eeeeeeeeee,Bawumia,akekakkeka eeeeeeeeee
It's now a matter of who is promising more btw Bawumia and Mahama smh,Bawumia,matter promising btw bawumia mahama smh
"Toli nkwaa , he got only 4yrs, he's coming to dig money..masa make we think wanna sef wai",Bawumia,toli nkwaa got yr coming dig money masa make think wanna sef wai
Na mate nso err?,Bawumia,na mate nso err
Over 70 promises,Bawumia,promise
This election,Bawumia,election
Weii. Dada noo,Bawumia,weii dada noo
Best idea,Bawumia,best idea
Eiiiiiii,Bawumia,eiiiiiii
VISIONARY!!!!!!,Bawumia,visionary
Good initiative,Bawumia,good initiative
"You think this is what we need..? Of what benefit is the already existing SSNIT to us? Someone will teach for 30 years and receive only 10000 cedis as lumpsup, how much more these drivers. robbery in disguise",Bawumia,think need benefit already existing ssnit u someone teach year receive cedi lumpsup much driver robbery disguise
Come and save this country. The waste in npp is too much. We can't survive with 130 ministers looting our resources through salaries and allowances. Never forget to cancel ex-gratia,Bawumia,come save country waste npp much survive minister looting resource salary allowance never forget cancel ex gratia
It's needed but how to implement this is what l would like to know,Bawumia,needed implement would like know
No plans for the youth yet,Bawumia,plan youth yet
We need to arrest Npp and NDC now,Bawumia,need arrest npp ndc
"That we called a leader, may Almighty God bless you. He always think about his people",Bawumia,called leader may almighty god bless always think people
"The proposed promise is on implementation, initiatived by immediate past SNNIT boss:tier three contributions any person who earned money can contribute into SNNIT as regularly formal sector",Bawumia,proposed promise implementation initiatived immediate past snnit bos tier three contribution person earned money contribute snnit regularly formal sector
"So who will win the hearts of Ghanaians with their respective promises, eei",Bawumia,win heart ghanaians respective promise eei
A man of his words,Bawumia,man word
They know him to be edwuma wuaaa. He delivers,Bawumia,know edwuma wuaaa delivers
I think it's long overdue considering the fact that public transport doesn't cost work in Ghana and they are the ones holding the fort,Bawumia,think long overdue considering fact public transport cost work ghana one holding fort
Next!,Bawumia,next
What about drivers mate's??,Bawumia,driver mate
"We trust him, not the other one",Bawumia,trust one
"Good way to go about it, this way they don't force themselves to work when they're old like we see on our roads",Bawumia,good way go way force work old like see road
"NDC is weakest even in opposition, you can't get your asses acting right and capitalize on all the many wrongs in this government, your mps approved some of this nuisance taxes in parliament, kwasiafuo mman s3",Bawumia,ndc weakest even opposition get ass acting right capitalize many wrong government mp approved nuisance tax parliament kwasiafuo mman
"From churches, chiefs
  
  Now our hope too say
  
  Trotro
  
  Whiles pensioneers dey suffer",Bawumia,church chief hope say trotro while pensioneers dey suffer
eiiii Mr man,Bawumia,eiiii mr man
They knew all these when they were in power,Bawumia,knew power
"Please stop that Ghanaian are hungry
  God never ask for a house",Bawumia,please stop ghanaian hungry god never ask house
No be akwaboa ein osofo dat,Bawumia,akwaboa ein osofo dat
I think we need to go back and really understand who the PHARISEEs were. You've been given the platform to interact with or talk to the presidential candidate and your priority is the dugged hole? Charley this is not of God.,Bawumia,think need go back really understand pharisee given platform interact talk presidential candidate priority dugged hole charley god
Why can't God send some sand from heaven to fill the hole.?,Bawumia,god send sand heaven fill hole
4 months Apple Music sub,Bawumia,month apple music sub
you know what I want you to say but I won't say it,Bawumia,know want say say
If this one be my pastor like I shorn the church follow abodi3 Hercules,Bawumia,one pastor like shorn church follow abodi hercules
"These are not men of God, they are business men cloaked as clergymen. They say what you want to hear using God's name when you are their highest bidder. A day of reckon will come and they'll answer such blasphemous acts",Bawumia,men god business men cloaked clergyman say want hear using god name highest bidder day reckon come answer blasphemous act
These people are leaders of congregations whose members are suffering. You meet a sitting vice president and a presidential candidate and you couldn't speak up for your followers. Smh,Bawumia,people leader congregation whose member suffering meet sitting vice president presidential candidate speak follower smh
Such a useless prophecy,Bawumia,useless prophecy
watch all these hypocrites carefully.,Bawumia,watch hypocrite carefully
"The man said ""maybe""",Bawumia,man said maybe
This country finds different ways for you to insult elderly people each day.,Bawumia,country find different way insult elderly people day
Maybe? I laugh,Bawumia,maybe laugh
Wei!! By their fruit we shall know them ampa,Bawumia,wei fruit shall know ampa
"You know he won't win,so you can't prophesy to him.",Bawumia,know win prophesy
But God doesn't want him to prosecute those who have caused financial losses to the Nation such as the person with double identities leading this grand scheme to loot and share abi?? Corrupt individuals hiding behind the veil of Christianity to do foolish things!,Bawumia,god want prosecute caused financial loss nation person double identity leading grand scheme loot share abi corrupt individual hiding behind veil christianity foolish thing
They shd start filling it pls,Bawumia,shd start filling pls
"Upon all the scandals surrounding the national cathedral,the pastors could not seek for clarity,truthfulness and accountability.",Bawumia,upon scandal surrounding national cathedral pastor could seek clarity truthfulness accountability
"This country's problem is bigger than I imagined. You are doing ""proof texting"". That is using biblical text to support the wickedness of this government.",Bawumia,country problem bigger imagined proof texting using biblical text support wickedness government
"If they wanna share nonfa, they start by asking, ""Can I prophesy?""
  
  That hole would be used for fish farming. Whoever tries to build this cathedral will get leprosy.",Bawumia,wanna share nonfa start asking prophesy hole would used fish farming whoever try build cathedral get leprosy
"Bawumia says he's a Christian, now pastor too Dey talk say Bawumia be Muslim. 
  Vhim wai",Bawumia,bawumia say christian pastor dey talk say bawumia muslim vhim wai
Nkwasiasem nkoaaaa n mind games...tell akuffo addo to build that shid or refill it...man of God who's using assumptions to make prophecies,Bawumia,nkwasiasem nkoaaaa mind game tell akuffo addo build shid refill man god using assumption make prophecy
"May God forgive him for hiding behind the bible to support corruption. A hole that cost this nation millions of dollars. I believe no one is perfect, may our good Lord forgive you Amoako Atta. You don't feel the heat because every Sunday you receive church offerings.",Bawumia,may god forgive hiding behind bible support corruption hole cost nation million dollar believe one perfect may good lord forgive amoako atta feel heat every sunday receive church offering
"Nana is David, Bawumia is Solomon.",Bawumia,nana david bawumia solomon
Some of these pastors make Christianity really distasteful. Tueh! Major enablers of the rot we find ourselves in.,Bawumia,pastor make christianity really distasteful tueh major enablers rot find
Only when it favours them and for some reason there's always a quotation for something.,Bawumia,favour reason always quotation something
The Bible is a book written for some many interpretations don't fall for it,Bawumia,bible book written many interpretation fall
Gyimii Gyimii,Bawumia,gyimii gyimii
It's time!! The nkwasiasem from these people be too much. Aah!,Bawumia,time nkwasiasem people much aah
"They don't care about the cedis to dollar ratio?
  I don't blame them though. They don't work but part of the richest people all the time.
  Hallelujah, God is good!!!!",Bawumia,care cedi dollar ratio blame though work part richest people time hallelujah god good
God didn't say anything,Bawumia,god say anything
"I stand to be corrected. The national Cathedral was proposed to house the three main religions in Ghana, i.e Christianity, Islam and ATR. Thus, his logic doesn't make so much sense.",Bawumia,stand corrected national cathedral proposed house three main religion ghana christianity islam atr thus logic make much sense
You're a prophet of God so I comment my reserve,Bawumia,prophet god comment reserve
"Hey hey hey , stop the nkwasia keka no. We are our enemies",Bawumia,hey hey hey stop nkwasia keka enemy
Is better I shut my mouth,Bawumia,better shut mouth
"If I talk er , hmm",Bawumia,talk er hmm
I presume he as a pastor have his service with his members in the open space,Bawumia,presume pastor service member open space
So where is the one who created hole,Bawumia,one created hole
What is wrong with this people for this country abeg.,Bawumia,wrong people country abeg
Hahahha somebody said prophetic,Bawumia,hahahha somebody said prophetic
The pastor just cash out,Bawumia,pastor cash
ah ah ah ah,Bawumia,ah ah ah ah
You and that god all no be serious Mr Amoako Atta,Bawumia,god serious mr amoako atta
"The Church,
  The Judiciary/Ghana Bar,
  The Media;
  ...and their relationship with the Elephant:
  Learn this history and you'll never be surprised,ever.",Bawumia,church judiciary ghana bar medium relationship elephant learn history never surprised ever
Yh Ghana will be in a hole for quite a while,Bawumia,yh ghana hole quite
$200m gone and no one going to jail for it ? We now quoting bible? Where in the Bible did a pagan build a temple for Christ ? There's a reason David was banned from building God a temple.,Bawumia,gone one going jail quoting bible bible pagan build temple christ reason david banned building god temple
Gyimiii saaa,Bawumia,gyimiii saaa
I don't know him please,Bawumia,know please
If I step foot in a church again it's going to be directly for God not these opportunists .,Bawumia,step foot church going directly god opportunist
You people will answer dearly than politicians..,Bawumia,people answer dearly politician
"I don't know why Ghanaians cry for jobs and good standard of living 
  
  What do y'all think is the purpose of National Cathedral?",Bawumia,know ghanaians cry job good standard living think purpose national cathedral
These are the real problems of Ghana.. just look at this,Bawumia,real problem ghana look
Mboa mpanyifo,Bawumia,mboa mpanyifo
These people are the reason why Ghanaians are suffering.,Bawumia,people reason ghanaians suffering
Just may be...,Bawumia,may
"So, if you can't tell the truth because he is there, can't you talk about something else? I have so many thing to say but guess this ain't the right time",Bawumia,tell truth talk something else many thing say guess right time
"The ""men of God"" have finished stealing the money and now they are trying to make prophetic connotations. Akrɔnfoɔ nkoaaa!!!",Bawumia,men god finished stealing money trying make prophetic connotation akr nfo nkoaaa
Your caption is misleading,Bawumia,caption misleading
"""maybe"" and it ends there",Bawumia,maybe end
Why give a misleading headline?,Bawumia,give misleading headline
Man of God is not talking about that the money that was looted. You want to say stuff to please man.,Bawumia,man god talking money looted want say stuff please man
Thieves in cassocks! God is not man!,Bawumia,thief cassock god man
God forbid,Bawumia,god forbid
Our elders,Bawumia,elder
I really shock give these men of God.,Bawumia,really shock give men god
"Papa, wei dieer Nyame be tua woka paahn
  And those clapping too, jons",Bawumia,papa wei dieer nyame tua woka paahn clapping jons
Did the osofo share any bible verse that supports a national cathedral?,Bawumia,osofo share bible verse support national cathedral
Pastors and Politicians are the same … top of the food chain. Selling hope to the masses and feeding fat off our sweat. Crooks in different packages,Bawumia,pastor politician top food chain selling hope mass feeding fat sweat crook different package
"He's playing scriptures because he's afraid to go straight to the point and tell him the truth to his face. oh my Prophet you've disappointed me 
  Be bold-clergyman",Bawumia,playing scripture afraid go straight point tell truth face oh prophet disappointed bold clergyman
"how can somebody's personal promise to his God be an Albatross on our neck..Also,none of our clergymen seems to be lobbying for massive wrks in our health sector…it's serious oo…..Go to da maternity wards of mst our hospitals…these people are our main problem in this country",Bawumia,somebody personal promise god albatross neck also none clergyman seems lobbying massive wrks health sector serious oo go da maternity ward mst hospital people main problem country
Ghana should set our priorities right. Anyway I sell quality Kente.,Bawumia,ghana set priority right anyway sell quality kente
Bunch of con men,Bawumia,bunch con men
I can only laugh,Bawumia,laugh
"Chale what be this koraaa, I figa wana revered pastors and prophet go talk truth to power not knowing the value is still the same. Smh",Bawumia,chale koraaa figa wana revered pastor prophet go talk truth power knowing value still smh
With whose money?,Bawumia,whose money
We don't need any cathedral. Build schools and hospitals or just create a park where people can just sit. Central Accra doesn't have any parks,Bawumia,need cathedral build school hospital create park people sit central accra park
"These are the reasons people are moving away from the church. 
  He is just insinuating his wishes to make it godly. 
  A hole dug with corruption and deceitful acts and you are happy pushing it. Sad",Bawumia,reason people moving away church insinuating wish make godly hole dug corruption deceitful act happy pushing sad
Reason why I stopped going to church,Bawumia,reason stopped going church
"The same Herold that wanted to ""off"" Jesus?",Bawumia,herold wanted jesus
"Wei Wei Wei. Smh, how we have turned away from the gospel of salvation and toward moneylenders. All around us are corrupted souls.",Bawumia,wei wei wei smh turned away gospel salvation toward moneylender around u corrupted soul
"Wow
  Wow
  Wow
  Akoa wei y3 prophet",Bawumia,wow wow wow akoa wei prophet
Maybe?? Prophetically ?? What sort of vague assumption is this,Bawumia,maybe prophetically sort vague assumption
"With whose money???
  You these ""religious leaders"" will surely reap what you sow!!!",Bawumia,whose money religious leader surely reap sow
See this when there is konongo hospital,Bawumia,see konongo hospital
"You have the biggest platform, representing many people to advise a vice president and you are here say this",Bawumia,biggest platform representing many people advise vice president say
Post Covid di3 gyimiii naaa ooo,Bawumia,post covid di gyimiii naaa ooo
He thinks he is saying sensible things,Bawumia,think saying sensible thing
God I hate this country,Bawumia,god hate country
The youth of this country needs national factories not cathedral! The poverty is too much even your god understands.,Bawumia,youth country need national factory cathedral poverty much even god understands
He won't ask for accountability for the money that has been spent to dig the hole. Prophetically and fundamentally is his concern. Herh Ghana.,Bawumia,ask accountability money spent dig hole prophetically fundamentally concern herh ghana
If I open mouth talk what I wan talk,Bawumia,open mouth talk wan talk
never taking a man with a receding hairline serious again,Bawumia,never taking man receding hairline serious
After presenting us the current president they are pushing another one on us in the name of God.Sad reality,Bawumia,presenting u current president pushing another one u name god sad reality
Ah ah ah ah ah!!!!!,Bawumia,ah ah ah ah ah
People re hiding behind the Bible to funfooler people stay focus we are in the election yer,Bawumia,people hiding behind bible funfooler people stay focus election yer
"What good is the cathedral if we don't have jobs, it's rather better to build industries to give jobs, reduce importation, increase income tax to government, Stabilize the cedi / dollar ratio etc. People getting jobs will even reduce crime rate. Let's think deep",Bawumia,good cathedral job rather better build industry give job reduce importation increase income tax government stabilize cedi dollar ratio etc people getting job even reduce crime rate let think deep
A Christian couldn't build how much more a Muslim,Bawumia,christian build much muslim
Hw3 nkwasia keka,Bawumia,hw nkwasia keka
Touch not my anointed,Bawumia,touch anointed
"You have already won contracts if he wins, hmm because of stomach !!!!!!!!……",Bawumia,already contract win hmm stomach
"Huh, what happens to the money?",Bawumia,huh happens money
Herh Ghana...how did we get here?,Bawumia,herh ghana get
Stomach direction pastors,Bawumia,stomach direction pastor
Herh!,Bawumia,herh
"At least he said ""May Be""",Bawumia,least said may
The churches we get for ghana here God no dey like?,Bawumia,church get ghana god dey like
Another biggest problem of Ghana is Religion,Bawumia,another biggest problem ghana religion
Those clapping for him dey vex me rough,Bawumia,clapping dey vex rough
Hahahahahha,Bawumia,hahahahahha
So you diss am aa God go punish you??,Bawumia,dis aa god go punish
What matters to them is the envelope that'll be handed over at the end of the event,Bawumia,matter envelope handed end event
"The problem is, it's some of the Christians who are fighting against the national cathedral.",Bawumia,problem christian fighting national cathedral
See someone's father,Bawumia,see someone father
"""Them belly full but we hungry""",Bawumia,belly full hungry
Man didn't say fill. He said fulfil. Get your stuff right,Bawumia,man say fill said fulfil get stuff right
Chacha prophecy.,Bawumia,chacha prophecy
Still… he is not winning.,Bawumia,still winning
Sickening,Bawumia,sickening
We get problems,Bawumia,get problem
Eii Charley,Bawumia,eii charley
"Not a single wise, kind or good man among the lot",Bawumia,single wise kind good man among lot
It will be there forever,Bawumia,forever
Wey pastor this?,Bawumia,wey pastor
Wey church this man be pastor for,Bawumia,wey church man pastor
Fill it with what?,Bawumia,fill
What happened to not serving two Masters at the same time. When did God allow one to be Christian during the day and one to be something else at night smh.,Bawumia,happened serving two master time god allow one christian day one something else night smh
I will be boiling if I were in that congregation,Bawumia,boiling congregation
Gyimii saa den everybody die for Africa,Bawumia,gyimii saa den everybody die africa
Ei nyinaaa ekosi ɛhefa?,Bawumia,ei nyinaaa ekosi hefa
